Module;Item;ItemType;Property;en-US;fr;nl;ko-KR;it;es;zh-CN;pt;de;en
TFDATETIMESHIFT;FDateTimeShift.AdvPanel1.ChkFileCreated;TCheckBox;Hint;"File: Date created becomes (shifted) CreateDate from metadata";"Fichier : la date de création devient (décalée) CreateDate à partir des métadonnées";"Bestand: Datum aangemaakt wordt (verschoven) CreateDate uit metagegevens";;"File: la data di creazione diventa (spostata) CreateDate dai metadati";"Fichero: La fecha de creación pasa a ser (desplazada) CreateDate de los metadatos";"檔案：建立日期變為 (移位) 來自元資料的 CreateDate";"File: la data di creazione diventa (spostata) CreateDate dai metadati";"Datei: Erstellungsdatum wird zum (verschobenen) CreateDate aus den Metadaten";
TFDATETIMESHIFT;FDateTimeShift.AdvPanel1.ChkFileModified;TCheckBox;Caption;"-change File: Date modified";"-change Fichier : Date modifiée";"-wijzig bestand: Wijzigingsdatum";;"-File: Data modificata";"-cambiar Archivo: Fecha modificada";-更改文件：修改日期;"-alterar Arquivo: Data modificada";"-Datei ändern: Änderungsdatum";
TFDATETIMESHIFT;FDateTimeShift.AdvPanel1.ChkFileModified;TCheckBox;Hint;"File: Date modified becomes (shifted) ModifyDate fom metadata";"Fichier : la date de modification devient (décalée) ModifyDate à partir des métadonnées";"Bestand: Datum aangemaakt wordt (verschoven) CreateDate uit metagegevens";;"File: la data di modifica diventa (spostata) ModifyDate dai metadati";"Fichero: La fecha de modificación pasa a ser (desplazada) ModifyDate fom metadata";"檔案：修改日期從 metadata 變成 (移位) ModifyDate";"Arquivo: A data de modificação torna-se (deslocada) ModifyDate dos metadados";"Datei: Änderungsdatum wird (verschoben) ModifyDate aus den Metadaten";
TFDATETIMESHIFT;FDateTimeShift.AdvPanel1.ChkIncrement;TCheckBox;Caption;=Increment;=Incrément;=Vooruit;;=Incremento;=Incremento;=遞增;=Aumento;=Inkrement;
TFDATETIMESHIFT;FDateTimeShift.AdvPanel1.ChkShiftCreate;TCheckBox;Caption;-shift;-décalage;-corr.;;-turno;-desplazamiento;-移位;-mudança;-schicht;
TFDATETIMESHIFT;FDateTimeShift.AdvPanel1.ChkShiftModify;TCheckBox;Caption;-shift;-décalage;-corr.;;-turno;-desplazamiento;-移位;-mudança;-schicht;
TFDATETIMESHIFT;FDateTimeShift.AdvPanel1.ChkShiftOriginal;TCheckBox;Caption;-shift;-change;-corr.;;-turno;-desplazamiento;-移位;-mudança;-schicht;
TFDATETIMESHIFT;FDateTimeShift.AdvPanel1.DtPickDateResult;TDateTimePicker;Hint;"Example of DateTimeOriginal after shifting";"Exemple de DateTimeOriginal après décalage";"Voorbeeld van Datum tijd origineel na correctie";;"Esempio di DateTimeOriginal dopo lo spostamento";"Ejemplo de DateTimeOriginal después del desplazamiento";"移位后的 DateTimeOriginal 示例";"Exemplo de DateTimeOriginal após o deslocamento";"Beispiel für DateTimeOriginal nach dem Verschieben";
TFDATETIMESHIFT;FDateTimeShift.AdvPanel1.Label2;TLabel;Caption;"Shift amount:";"Montant du décalage :";Correctie:;;"Importo dello spostamento:";"Cantidad desplazada:";移位量：;"Valor do deslocamento:";Verschiebungszahl:;
TFDATETIMESHIFT;FDateTimeShift.AdvPanel1.Label3;TLabel;Caption;"DateTime result:";"DateTime result :";"Datum resultaat:";;"DateTime risultato:";"Fecha-hora resultado:";日期时间结果：;"DateTime resultado:";"DatumZeit Ergebnis:";
TFDATETIMESHIFT;FDateTimeShift.AdvPanel1.LblEdCreate;TLabeledEdit;EditLabel.Caption;CreateDate:;"CreateDate :";Creatiedatum:;;DataCreazione:;"Fecha Creación:";创建日期:;"Data de criação:";Erstellungsdatum:;
TFDATETIMESHIFT;FDateTimeShift.AdvPanel1.LblEdModify;TLabeledEdit;EditLabel.Caption;ModifyDate:;"ModifyDate :";Wijzigingsdatum:;;DataModifica:;"Fecha de Modificación:";修改日期:;"Data modificada:";ÄndernDatum:;
TFDATETIMESHIFT;FDateTimeShift.AdvPanel1.LblEdOriginal;TLabeledEdit;EditLabel.Caption;"DateTime original:";"DateTime original :";"Datum origineel:";;"DateTime originale:";"Fecha-hora original:";原始日期时间：;"DateTime originais:";"DatumZeit Original:";
TFDATETIMESHIFT;FDateTimeShift.AdvPanel1.LblGroup;TLabel;Caption;Group:;"Le groupe";Groep:;;Gruppo:;Grupo:;小組：;Grupo:;Gruppe:;
TFDATETIMESHIFT;FDateTimeShift.AdvPanel1.MeShiftAmount;TMaskEdit;Hint;"Example: [0000:00:01 02:00:00] =shift for 1 day & 2 hours";"Exemple : [0000:00:01 02:00:00] = décalage de 1 jour et 2 heures";"Voorbeeld: [0000:00:01 02:00:00] =verschuif 1 dag en 2 uren";;"Esempio: [0000:00:01 02:00:00] =spostamento per 1 giorno e 2 ore";"Ejemplo: [0000:00:01 02:00:00] =desplazamiento de 1 día y 2 horas";"例如: [0000:00:01 02:00:00] =shift for 1 day & 2 hours";"Exemplo: [0000:00:01 02:00:00] =deslocamento de 1 dia e 2 horas";"Beispiel: [0000:00:01 02:00:00] =Schicht für 1 Tag und 2 Stunden";
TFDATETIMESHIFT;FDateTimeShift.BtnCancel;TButton;Caption;Cancel;Annuler;Annuleer;;Annullare;Cancelar;取消;Cancelar;Abbrechen;
TFDATETIMESHIFT;FDateTimeShift.BtnExecute;TButton;Caption;Execute;Exécuter;Uitvoeren;;Eseguire;Ejecutar;执行;Executar;Ausführen;
TFEDITFCOLUMN;FEditFColumn;TFEditFColumn;Caption;"Configure file lists";"Configurer des listes de fichiers";"Bestandslijsten configureren";;"Configurare gli elenchi di file";"Configurar listas de archivos";配置文件列表;"Configurar listas de arquivos";"Konfigurieren von Dateilisten";
TFEDITFCOLUMN;FEditFColumn.PnlGrids.DbgColumnSet.Columns[0];TDBGrid;Title.Caption;Caption;Titre;Caption;;Didascalia;Título;标题;Título;Titel;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.DbgColumnSet.Columns[1];TDBGrid;Title.Caption;Command;Commande;Commando;;Comando;Comando;指挥;Comando;Kommando;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.DbgColumnSet.Columns[2];TDBGrid;Title.Caption;Option;Option;Optie;;Opzione;Opción;选项;Opção;Option;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.DbgColumnSet.Columns[3];TDBGrid;Title.Caption;"Align Right";"Aligner à droite";"Rechts uitlijnen";;"Allineare a destra";"Alinear a la derecha";向右对齐;"Alinhar à direita";"Rechts ausrichten";
TFEDITFCOLUMN;FEditFColumn.PnlGrids.DbgColumnSet.Columns[4];TDBGrid;Title.Caption;Backup;Backup;Backup;;Backup;Backup;备份;Backup;Backup;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.DbgColumnSet.Columns[5];TDBGrid;Title.Caption;"Sample Value";"Valeur de l'échantillon";Voorbeeld;;"Valore campione";"Valor de muestra";样本值;"Sample Value";Beispielwert;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlDetail.DbgTagNames.Columns[0];TDBGrid;Title.Caption;"Tag Name";"Nom De L'Étiquette";Labelnaam;;"Nome Del Tag";"Nombre De Etiqueta";標籤名稱;"Nome Da Tag";Tag-Name;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlDetail.DbgTagNames.Columns[1];TDBGrid;Title.Caption;"Sample Value";"Valeur de l'échantillon";Voorbeeld;;"Valore campione";"Valor de muestra";样本值;"Sample Value";Beispielwert;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlDetail.PnlEdSearch.BtnApplyTag;TButton;Caption;Apply;Appliquer;Overnemen;;Applicare;Aplicar;申请;Aplicar;Anwenden;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlDetail.PnlEdSearch.PnlSearch.LblSearchTag;TLabel;Caption;"Search tag name:";"Recherche d'étiquette";"Zoeken op tagnaam:";;"Ricerca nome tag:";"Buscar nombre de etiqueta:";搜索标签名称：;"Pesquisar nome da tag:";"Tag-Name suchen

";
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlDetail.RadTagValues;TRadioGroup;Caption;"Tag selection";"Sélection des étiquettes";"Label selectie";;"Selezione dei tag";"Selección de etiquetas";标签选择;"Seleção de etiquetas";Tag-Auswahl;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlDetail.RadTagValues;TRadioGroup;Items.Strings[0];"From sample";"De l'échantillon";"Uit voorbeeld";;"Dal campione";"De muestra";来自样本;"Da amostra";"Von der Probe";
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlDetail.RadTagValues;TRadioGroup;Items.Strings[1];"All internal tags";"Toutes les étiquettes internes";"Alle interne labels";;"Tutti i tag interni";"Todas las etiquetas internas";所有内部标签;"Todas as tags internas";"Alle internen Tags";
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlFileListDef.DbgFileListDef.Columns[0];TDBGrid;Title.Caption;Name;Nom;Naam;;Nome;Nombre;名称;Nome;Name;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlFileListDef.DbgFileListDef.Columns[1];TDBGrid;PickList.Strings[0];Internal;Interne;Intern;;Interno;Interno;内部;Interno;Intern;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlFileListDef.DbgFileListDef.Columns[1];TDBGrid;Title.Caption;Type;Type;Type;;Tipo;Tipo;类型;Tipo;Typ;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlFileListDef.DbgFileListDef.Columns[2];TDBGrid;Title.Caption;"Read Mode";"Mode lecture";"Lees modus";;"Modo di lettura";"Modo lectura";读取模式;"Modo de leitura";Lese-Modus;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlMiddle.SpbAddTag;TSpeedButton;Caption;Add;Ajouter;Nieuw;;Aggiungi;Añadir;添加;Adicionar;Hinzufügen;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlMiddle.SpbDelTag;TSpeedButton;Caption;Delete;Supprimer;Verwijder;;Cancellare;Borrar;删除;Eliminar;Löschen;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlMiddle.SpbEditTag;TSpeedButton;Caption;Edit;Modifier;Wijzig;;Modifica;Editar;编辑;Editar;Bearbeiten;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlTop.SpbAddPred;TSpeedButton;Caption;Add;Ajouter;Nieuw;;Aggiungi;Añadir;添加;Adicionar;Hinzufügen;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlTop.SpbDefaults;TSpeedButton;Caption;Defaults;Défauts;Standaard;;Predefiniti;"Por defecto";默认值;Predefinições;Standardwerte;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlTop.SpbDelPred;TSpeedButton;Caption;Delete;Supprimer;Verwijder;;Cancellare;Borrar;删除;Eliminar;Löschen;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlTop.SpbDuplicate;TSpeedButton;Caption;Duplicate;Dupliquer;Dupliceer;;Duplicati;Duplicar;重复;Duplicar;Duplizieren;
TFEDITFCOLUMN;FEditFColumn.PnlGrids.PnlTop.SpbEditPred;TSpeedButton;Caption;Edit;Modifier;Wijzig;;Modifica;Editar;编辑;Editar;Bearbeiten;
TFEDITFFILTER;FEditFFilter;TFEditFFilter;Caption;"Configure file filters";"Configurer les filtres de fichiers";"Configuren bestandsfilters";;"Configurazione dei filtri per i file";"Configurar los filtros de archivos";配置文件过滤器;"Configurar filtros de arquivos";"Dateifilter konfigurieren";
TFEDITFFILTER;FEditFFilter.AdvPanel1.BtnAdd;TButton;Caption;Add;Ajouter;Nieuw;;Aggiungi;Añadir;添加;Adicionar;Hinzufügen;
TFEDITFFILTER;FEditFFilter.AdvPanel1.BtnDefaults;TButton;Caption;Defaults;Défauts;Standaard;;Predefiniti;"Por defecto";默认值;Predefinições;Standardwerte;
TFEDITFFILTER;FEditFFilter.AdvPanel1.BtnDel;TButton;Caption;Delete;Supprimer;Verwijder;;Cancellare;Borrar;删除;Eliminar;Löschen;
TFEDITFFILTER;FEditFFilter.AdvPanel1.BtnUpdate;TButton;Caption;Update;Actualisation;Bijwerken;;Aggiornamento;Actualizar;更新;Atualizar;Aktualisieren;
TFEDITFFILTER;FEditFFilter.AdvPanel1.Label1;TLabel;Caption;"Checked item will be used at startup";"L'élément coché sera utilisé au démarrage";"Aangevinkt item wordt gebruikt bij het opstarten";;"La voce selezionata verrà utilizzata all'avvio";"El elemento marcado se utilizará al inicio";选中的项目将在启动时使用;"O item marcado será usado na inicialização";"Das markierte Element wird beim Start verwendet";
TFFILEDATETIME;FFileDateTime;TFFileDateTime;Caption;"Rename files";"Renommer les fichiers";"Hernoem bestanden";;"Rinominare i file";"Renombrar archivos";重命名文件;"Renomear arquivos";"Dateien umbenennen";
TFFILEDATETIME;FFileDateTime.AdvPanel1.AdvPanel2;TPanel;Hint;"Note: No backup files are created when renaming!";"Remarque : aucun fichier de sauvegarde n'est créé lors du renommage !";"NB: Er worden geen backupbestanden gemaakt met hernoemen!";;"Nota: quando si rinominano i file non vengono creati file di backup!";"Nota: ¡No se crean copias de seguridad al renombrar!";注意：重命名时不会创建备份文件！;"Observação: Nenhum arquivo de backup é criado ao renomear!";"Hinweis: Beim Umbenennen werden keine Sicherungsdateien erstellt!";
TFFILEDATETIME;FFileDateTime.AdvPanel1.AdvPanel2.Button2;TButton;Caption;Rename;Renommer;Hernoem;;Rinominare;Renombrar;重命名;Renomear;Umbenennen;
TFFILEDATETIME;FFileDateTime.AdvPanel1.AdvPanel2.CheckBox1;TCheckBox;Caption;"-set separator in Date field";"-Séparateur Date";"-scheidingsteken Datumveld";;"-Impostare il separatore nel campo Data";"-Separador Fecha";"- 在日期字段中设置分隔符";"-definir separador no campo Data";"-Trennzeichen Datumsfeld";
TFFILEDATETIME;FFileDateTime.AdvPanel1.AdvPanel2.CheckBox2;TCheckBox;Caption;"-set separator in Time field";"-Séparateur Heure";"-scheidingsteken Tijdveld";;"-Impostare il separatore nel campo Time";"-Separador Hora";"- 在时间字段中设置分隔符";"-definir separador no campo Hora";"-Trennzeichen Zeitfeld";
TFFILEDATETIME;FFileDateTime.AdvPanel1.AdvPanel2.ChkDateFirst;TCheckBox;Caption;"-DateTime first";"-DateTemps premier";"-DatumTijd eerst";;"-DataTempo prima";"-FechaHora primero";-日期時間第一;"-DateTime primeiro";"-DatumZeitpunkt zuerst";
TFFILEDATETIME;FFileDateTime.AdvPanel1.AdvPanel2.ChkSeparate;TCheckBox;Caption;"Separate Date/Time and Filename";"Séparer la date/heure et le nom du fichier";"Datum/tijd en bestandsnaam scheiden";;"Separare data/ora e nome del file";"Separar fecha/hora y nombre de fichero";分离日期/时间和文件名;"Separe a data/hora e o nome do arquivo";"Datum/Uhrzeit und Dateiname trennen";
TFFILEDATETIME;FFileDateTime.AdvPanel1.AdvPanel2.GroupBox1;TGroupBox;Caption;"Use date and time from";"Utiliser la date et l'heure de";"Gebruik datum en tijd van";;"Utilizzare data e ora da";"Utilizar fecha y hora de";使用日期和時間從;"Usar data e hora de";"Datum und Uhrzeit verwenden von";
TFFILEDATETIME;FFileDateTime.AdvPanel1.AdvPanel2.RadDuplicates;TRadioGroup;Caption;"Action on duplicate filename (Custom requires Exiftool V12.97)";"Action sur les noms de fichiers en double (Exiftool V12.97 requis)";"Actie op dubbele bestandsnaam (aangepast vereist Exiftool V12.97)";;"Azione sui nomi di file duplicati (la personalizzazione richiede Exiftool V12.97)";"Acción sobre el nombre de archivo duplicado (Personalizada requiere Exiftool V12.97)";"对重复文件名采取行动（自定义要求 Exiftool V12.97）";"Ação em nome de arquivo duplicado (Personalizado requer Exiftool V12.97)";"Aktion bei doppeltem Dateinamen (Benutzerdefiniert erfordert Exiftool V12.97)";
TFFILEDATETIME;FFileDateTime.AdvPanel1.AdvPanel2.RadioGroup2;TRadioGroup;Caption;"New Filename starts/ends with";"Le nom de fichier commence/se termine par";"Nieuwe bestandsnaam begint/eindigt met";;"Il nuovo nome del file inizia/termina con";"Nombre de archivo empieza/termina por";新文件名以;"O novo nome de arquivo começa/termina com";"Dateiname beginnt/endet mit";
TFFILEDATETIME;FFileDateTime.AdvPanel1.AdvPanel2.RadioGroup3;TRadioGroup;Caption;"Change Filename";"Changer le nom de fichier";"Verander Bestandsnaam";;"Cambia il nome del file";"Cambiar nombre de archivo";更改文件名;"Alterar nome do arquivo";"Dateinamen ändern";
TFFILEDATETIME;FFileDateTime.AdvPanel1.AdvPanel2.RadioGroup3;TRadioGroup;Items.Strings[0];"keep as is";"conserver tel quel";Huidige;;"mantenere così com'è";"mantener como está";保持为;"manter como está";"wie es ist";
TFFILEDATETIME;FFileDateTime.AdvPanel1.AdvPanel2.RadioGroup3;TRadioGroup;Items.Strings[1];into;en;in;;in;en;成;em;in;
TFFILEDATETIME;FFileDateTime.AdvPanel1.AdvPanel2.RadioGroup4;TRadioGroup;Caption;"Save existing Filename to";"Sauvegarder le nom de fichier existant dans";"Sla bestaande bestand op als";;"Salva il nome del file esistente in";"Guardar el nombre de archivo existente en";保存现有文件名到;"Salvar o nome de arquivo existente em";"Vorhandenen Dateinamen speichern unter";
TFFILEDATETIME;FFileDateTime.AdvPanel1.AdvPanel2.RadioGroup4;TRadioGroup;Items.Strings[1];"Don't save";"Ne pas enregistrer";"Sla niet op";;"Non salvare";"No guardar";不保存;"Não salvar";"Nicht speichern";
TFFILEDATETIME;FFileDateTime.AdvPanel1.AdvPanel3;TPanel;Hint;"Files will only be renamed where Exif:DocumentName is defined.";"Les fichiers ne seront renommés que si Exif:DocumentName est défini.";"Bestanden worden alleen hernoemd indien Exif:DocumentName gedefinieerd is.";;"I file saranno rinominati solo se Exif:DocumentName è definito.";"Los archivos sólo se renombrarán si Exif:DocumentName está definido.";"仅在定义了 Exif:DocumentName 的情况下才会重命名文件。";"Os arquivos só serão renomeados quando Exif:DocumentName estiver definido.";"Dateien werden nur dort umbenannt, wo Exif:DocumentName definiert ist.";
TFFILEDATETIME;FFileDateTime.AdvPanel1.AdvPanel3.Button3;TButton;Caption;Rename;Renommer;Hernoem;;Rinomina;Renombrar;重命名;Renomear;Umbenennen;
TFFILEDATETIME;FFileDateTime.AdvPanel1.AdvPanel3.RadioButton1;TRadioButton;Caption;"Use Filename from Exif:DocumentName";"Utiliser le nom de fichier de Exif:DocumentName";"Neem bestandsnaam van Exif:DocumentName";;"Usa il nome del file da Exif:DocumentName";"Usar nombre de archivo de Exif:DocumentName";"使用 Exif:DocumentName 中的文件名";"Usar o nome de arquivo de Exif:DocumentName";"Dateinamen aus Exif:DocumentName verwenden";
